125,14.0,16.0,14.0,16.0,14.0,16.0,15.0,16.0,16.0,16.0,14.0,16.0,16.0,16.0,18.0,20.0,24.0,31.0,41.0,50.0,69.0,81.0,99.0,112.0,120.0,116.0,117.0,97.0,84.0,63.0,48.0,35.0,25.0,18.0,15.0,16.0,14.0,16.0,15.0,16.0,14.0,16.0,14.0,16.0,13.0,16.0,13.0,16.0,14.0,16.0
109p5,15.0,16.0,14.0,16.0,15.0,16.0,16.0,18.0,19.0,20.0,20.0,21.0,22.0,25.0,28.0,37.0,49.0,68.0,91.0,127.0,160.0,190.0,215.0,243.0,242.0,247.0,222.0,207.0,162.0,137.0,98.0,68.0,47.0,33.0,24.0,19.0,15.0,16.0,14.0,16.0,14.0,16.0,13.0,16.0,13.0,16.0,13.0,16.0,13.0,16.0
143p6,18.0,18.0,17.0,16.0,17.0,16.0,16.0,17.0,19.0,21.0,23.0,24.0,26.0,25.0,26.0,24.0,22.0,24.0,28.0,34.0,43.0,58.0,65.0,80.0,82.0,84.0,79.0,73.0,58.0,44.0,35.0,26.0,20.0,16.0,16.0,12.0,16.0,13.0,16.0,12.0,16.0,12.0,16.0,12.0,16.0,12.0,16.0,11.0,16.0,11.0
95,13.0,16.0,13.0,16.0,14.0,16.0,14.0,16.0,15.0,16.0,16.0,16.0,18.0,20.0,23.0,29.0,41.0,49.0,71.0,89.0,118.0,139.0,169.0,183.0,210.0,194.0,192.0,175.0,153.0,124.0,99.0,71.0,55.0,37.0,29.0,22.0,18.0,16.0,16.0,16.0,15.0,16.0,14.0,16.0,14.0,16.0,15.0,16.0,15.0,16.0
5,14.0,16.0,12.0,16.0,12.0,16.0,12.0,16.0,13.0,16.0,16.0,16.0,17.0,18.0,21.0,21.0,24.0,28.0,37.0,46.0,54.0,64.0,67.0,74.0,72.0,78.0,70.0,67.0,59.0,50.0,44.0,35.0,25.0,23.0,16.0,16.0,13.0,16.0,12.0,16.0,13.0,16.0,13.0,16.0,14.0,16.0,13.0,16.0,13.0,16.0
65,13.0,16.0,13.0,16.0,13.0,16.0,13.0,16.0,14.0,17.0,17.0,17.0,16.0,17.0,18.0,21.0,29.0,37.0,51.0,71.0,89.0,107.0,113.0,133.0,134.0,140.0,127.0,123.0,98.0,87.0,71.0,51.0,39.0,30.0,22.0,18.0,17.0,18.0,17.0,17.0,16.0,16.0,14.0,16.0,13.0,16.0,14.0,16.0,14.0,16.0
80p5,13.0,16.0,14.0,16.0,14.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,16.0,17.0,20.0,25.0,34.0,45.0,60.0,75.0,97.0,105.0,120.0,131.0,136.0,129.0,129.0,111.0,96.0,77.0,65.0,48.0,38.0,32.0,26.0,23.0,23.0,23.0,21.0,20.0,20.0,19.0,18.0,17.0,18.0,17.0,17.0,16.0,17.0,16.0
46p4,13.0,16.0,13.0,16.0,14.0,16.0,15.0,16.0,16.0,16.0,15.0,16.0,15.0,16.0,17.0,21.0,26.0,34.0,47.0,59.0,79.0,96.0,114.0,127.0,136.0,135.0,131.0,117.0,106.0,90.0,73.0,57.0,46.0,34.0,26.0,21.0,19.0,16.0,17.0,17.0,17.0,19.0,21.0,21.0,21.0,21.0,21.0,20.0,19.0,18.0
185,19.0,18.0,20.0,19.0,20.0,19.0,20.0,17.0,16.0,14.0,16.0,12.0,16.0,12.0,16.0,13.0,16.0,20.0,26.0,38.0,48.0,64.0,76.0,93.0,96.0,99.0,91.0,86.0,75.0,62.0,48.0,36.0,27.0,19.0,16.0,14.0,16.0,14.0,16.0,15.0,16.0,14.0,16.0,13.0,16.0,13.0,16.0,13.0,16.0,12.0
