Distance_(pixels),Gray_Value
530,19.522
531,20.821
532,20.447
533,19.535
534,19.833
535,21.491
536,18.769
537,17.315
538,17.620
539,17.515
540,18.032
541,19.282
542,19.406
543,21.917
544,22.197
545,22.993
546,22.434
547,22.648
548,23.403
549,23.820
550,23.395
551,21.478
552,21.067
553,21.503
554,22.585
555,24.633
556,26.966
557,32.873
558,37.691
559,44.511
560,50.431
561,57.243
562,62.097
563,64.818
564,71.500
565,74.789
566,78.359
567,73.969
568,76.698
569,74.713
570,73.813
571,66.836
572,64.256
573,59.710
574,53.247
575,44.834
576,39.488
577,33.688
578,30.381
579,32.470
580,37.122
581,42.033
582,48.925
583,56.143
584,64.959
585,69.684
586,74.482
587,78.771
588,77.406
589,79.511
590,78.001
591,76.528
592,69.899
593,60.704
594,53.764
595,48.449
596,42.743
597,38.577
598,32.358
599,28.889
600,24.631
601,22.110
602,22.538
603,23.280
604,23.139
605,24.672
606,25.849
607,28.588
608,33.174
609,36.568
610,46.261
611,54.239
612,60.896
613,71.470
614,80.319
615,85.495
616,93.898
617,93.749
618,92.150
619,88.506
620,89.251
621,80.753
622,71.716
623,62.718
624,55.965
625,47.506
626,39.780
627,33.666
628,29.267
629,26.754
630,23.695
631,21.037
632,21.155
633,20.323
634,19.994
635,20.865
636,21.328
637,24.328
638,27.004
639,33.267
640,41.521
641,50.013
642,60.162
643,69.773
644,76.013
645,86.630
646,88.363
647,92.090
648,91.350
649,88.889
650,84.930
651,80.435
652,75.526
653,67.208
654,58.513
655,50.776
656,45.130
657,38.248
658,32.964
659,26.662
660,25.382
661,25.115
662,25.493
663,24.723
664,24.732
665,22.969
666,21.143
667,18.817
668,21.173
669,22.840
670,29.628
671,37.131
672,49.109
673,60.817
674,72.151
675,80.248
676,89.609
677,95.134
678,96.953
679,93.898
680,87.355
681,83.055
682,78.905
683,72.263
684,63.682
685,57.164
686,47.631
687,43.719
688,37.793
689,32.682
690,26.101
691,25.101
692,23.651
693,26.465
694,25.518
695,25.944
696,24.265
697,21.669
698,21.267
699,21.192
700,23.849
701,28.266
702,35.333
703,45.389
704,56.140
705,67.050
706,78.404
707,88.973
708,103.884
709,103.354
710,109.665
711,105.882
712,101.576
713,92.782
714,85.050
715,72.570
716,64.403
717,53.594
718,45.577
719,38.778
720,31.275
721,27.050
722,24.893
723,25.682
724,26.891
725,28.017
726,27.734
727,25.628
728,22.556
729,21.347
730,21.452
731,22.675
732,27.982
733,36.570
734,44.786
735,60.803
736,76.814
737,92.271
738,104.793
739,113.468
740,119.606
741,121.955
742,115.029
743,108.660
744,99.627
745,90.739
746,83.380
747,72.623
748,63.981
749,59.260
750,49.935
751,45.989
752,37.435
753,32.752
754,28.962
755,31.303
756,31.248
757,29.846
758,29.087
759,26.886
760,22.963
761,22.557
762,22.377
763,26.365
764,33.060
765,44.723
766,57.565
767,73.407
768,88.948
769,106.798
770,118.228
771,130.221
772,128.994
773,130.744
774,117.932
775,109.790
776,96.167
777,85.239
778,73.867
779,62.569
780,54.961
781,48.418
782,42.602
783,37.339
784,33.784
785,30.079
786,30.414
787,33.134
788,34.440
789,32.097
790,32.113
791,28.884
792,27.741
793,27.041
794,28.674
795,34.372
796,42.428
797,58.774
798,74.254
799,95.026
800,112.818
801,130.419
802,138.033
803,144.444
804,140.074
805,133.104
806,120.569
807,107.422
808,90.906
809,82.670
810,66.121
811,59.580
812,49.332
813,43.002
814,38.192
815,34.126
816,29.099
817,26.185
818,28.144
819,30.389
820,31.650
821,31.040
822,28.706
823,27.163
824,26.312
825,27.890
826,33.238
827,41.372
828,57.100
829,75.094
830,97.878
831,118.262
832,137.518
833,145.202
834,148.941
835,147.866
836,139.608
837,124.645
838,108.119
839,92.816
840,80.391
841,69.324
842,58.108
843,49.423
844,41.961
845,37.135
846,33.338
847,30.452
848,30.102
849,31.050
850,31.180
851,32.891
852,32.452
853,32.298
854,30.098
855,31.207
856,37.829
857,49.489
858,66.969
859,90.258
860,116.138
861,135.684
862,153.712
863,163.725
864,168.332
865,164.346
866,159.676
867,138.983
868,123.264
869,101.462
870,85.483
871,69.716
872,57.160
873,46.789
874,40.032
875,35.550
876,33.703
877,30.734
878,29.257
879,30.484
880,27.964
881,27.776
882,25.699
883,24.372
884,25.858
885,28.736
886,36.774
887,53.209
888,74.126
889,103.042
890,129.085
891,152.396
892,174.156
893,185.026
894,190.464
895,183.903
896,172.846
897,149.811
898,125.118
899,103.151
900,83.576
901,67.475
902,55.323
903,46.855
904,41.280
905,37.593
906,31.730
907,27.958
908,26.836
909,28.239
910,28.995
911,27.530
912,26.901
913,24.542
914,23.828
915,24.301
916,27.872
917,37.056
918,53.986
919,76.466
920,103.416
921,135.756
922,168.932
923,188.689
924,209.405
925,208.207
926,201.165
927,191.718
928,176.552
929,152.525
930,127.271
931,103.394
932,81.424
933,65.110
934,50.578
935,39.698
936,32.980
937,29.855
938,27.775
939,27.626
940,27.333
941,27.320
942,25.547
943,24.474
944,23.270
945,24.577
946,30.436
947,41.341
948,60.988
949,87.645
950,121.627
951,155.411
952,187.274
953,207.166
954,218.624
955,213.673
956,205.483
957,191.475
958,167.742
959,142.026
960,120.488
961,101.103
962,84.435
963,69.491
964,55.794
965,44.249
966,36.195
967,32.837
968,31.227
969,28.730
970,26.575
971,24.594
972,23.893
973,24.517
974,29.338
975,41.528
976,60.173
977,84.903
978,116.314
979,150.265
980,182.709
981,211.055
982,230.021
983,233.041
984,228.380
985,215.562
986,193.026
987,165.325
988,142.111
989,120.515
990,97.658
991,76.214
992,59.424
993,45.821
994,35.242
995,29.833
996,26.679
997,25.552
998,25.907
999,23.622
1000,21.666
1001,22.148
1002,22.763
1003,27.349
1004,38.356
1005,56.304
1006,82.119
1007,116.145
1008,153.561
1009,189.114
1010,218.180
1011,231.683
1012,233.924
1013,230.937
1014,218.607
1015,200.745
1016,177.568
1017,152.639
1018,129.168
1019,105.444
1020,86.807
1021,70.267
1022,54.220
1023,42.689
1024,33.867
1025,27.779
1026,27.761
1027,30.811
1028,30.116
1029,26.625
1030,23.058
1031,20.804
1032,20.930
1033,25.996
1034,36.295
1035,52.691
1036,76.543
1037,107.259
1038,141.410
1039,171.475
1040,195.487
1041,214.704
1042,220.785
1043,222.030
1044,212.847
1045,195.655
1046,174.272
1047,154.083
1048,136.204
1049,118.839
1050,99.830
1051,80.329
1052,62.438
1053,45.850
1054,35.289
1055,28.632
1056,28.354
1057,29.598
1058,29.621
1059,25.875
1060,22.804
1061,22.004
1062,25.826
1063,37.178
1064,56.406
1065,83.806
1066,116.102
1067,150.768
1068,180.944
1069,206.896
1070,223.026
1071,233.544
1072,229.662
1073,221.551
1074,203.343
1075,187.794
1076,168.636
1077,146.123
1078,121.622
1079,97.896
1080,77.919
1081,57.885
1082,43.059
1083,32.172
1084,29.205
1085,30.128
1086,26.364
1087,22.534
1088,20.523
1089,22.264
1090,28.120
1091,39.876
1092,59.835
1093,87.463
1094,121.351
1095,159.805
1096,197.286
1097,223.255
1098,236.672
1099,244.398
1100,238.586
1101,230.170
1102,207.756
1103,187.220
1104,162.320
