singlepass_12V_7spot-1p703_2,6.0,8.0,10.0,14.0,21.0,30.0,42.0,64.0,90.0,123.0,157.0,192.0,204.0,205.0,180.0,148.0,99.0,62.0,35.0,23.0,14.0,12.0,10.0,8.0
singlepass_12V_7spot-1p703_1,8.0,10.0,12.0,17.0,26.0,39.0,55.0,72.0,100.0,129.0,160.0,177.0,186.0,165.0,138.0,99.0,66.0,37.0,23.0,13.0,10.0,8.0,7.0,6.0
singlepass_12V_7spot-1p703_3,7.0,8.0,10.0,12.0,18.0,28.0,44.0,68.0,95.0,128.0,162.0,196.0,209.0,211.0,180.0,142.0,91.0,54.0,30.0,20.0,14.0,11.0,8.0,7.0
singlepass_12V_7spot-1p703_5,7.0,9.0,10.0,12.0,17.0,26.0,38.0,62.0,90.0,134.0,177.0,218.0,234.0,236.0,195.0,149.0,93.0,54.0,29.0,19.0,13.0,11.0,10.0,8.0
singlepass_12V_7spot-1p703_4,7.0,7.0,9.0,12.0,19.0,29.0,44.0,70.0,101.0,146.0,189.0,227.0,240.0,239.0,204.0,162.0,104.0,62.0,34.0,22.0,13.0,11.0,10.0,8.0
singlepass_12V_7spot-1p703_7,7.0,8.0,10.0,12.0,16.0,20.0,36.0,55.0,85.0,119.0,160.0,179.0,186.0,157.0,124.0,84.0,54.0,32.0,21.0,14.0,12.0,10.0,8.0,7.0
singlepass_12V_7spot-1p703_6,8.0,10.0,11.0,12.0,15.0,21.0,29.0,51.0,77.0,120.0,162.0,204.0,221.0,224.0,185.0,142.0,91.0,55.0,30.0,20.0,13.0,11.0,9.0,8.0
