singlepass_12V_7spot-1p703_2,17.0,16.0,17.0,20.0,25.0,40.0,62.0,100.0,138.0,168.0,190.0,204.0,195.0,179.0,153.0,125.0,93.0,67.0,43.0,31.0,21.0,16.0,14.0,13.0
singlepass_12V_7spot-1p703_1,16.0,15.0,14.0,15.0,16.0,29.0,47.0,79.0,111.0,143.0,165.0,182.0,186.0,182.0,160.0,135.0,110.0,83.0,59.0,45.0,32.0,21.0,17.0,15.0
singlepass_12V_7spot-1p703_3,15.0,16.0,18.0,23.0,32.0,47.0,76.0,111.0,147.0,179.0,202.0,209.0,204.0,178.0,148.0,115.0,84.0,58.0,40.0,24.0,19.0,14.0,12.0,11.0
singlepass_12V_7spot-1p703_5,12.0,13.0,16.0,20.0,27.0,41.0,60.0,95.0,133.0,177.0,209.0,235.0,234.0,223.0,187.0,146.0,100.0,66.0,38.0,26.0,17.0,13.0,13.0,14.0
singlepass_12V_7spot-1p703_4,14.0,18.0,22.0,26.0,34.0,50.0,77.0,108.0,156.0,199.0,225.0,240.0,247.0,221.0,189.0,146.0,106.0,71.0,47.0,27.0,20.0,16.0,15.0,13.0
singlepass_12V_7spot-1p703_7,15.0,18.0,23.0,31.0,43.0,58.0,81.0,107.0,137.0,160.0,179.0,186.0,185.0,163.0,135.0,104.0,75.0,50.0,39.0,29.0,23.0,19.0,16.0,14.0
singlepass_12V_7spot-1p703_6,14.0,13.0,14.0,15.0,23.0,35.0,53.0,83.0,117.0,156.0,191.0,215.0,221.0,212.0,183.0,149.0,106.0,70.0,43.0,27.0,17.0,16.0,15.0,16.0
