filename,cx_global,cy_global,cx_local,cy_local,cx_corrected,cy_corrected,cx_corrected_err,cy_corrected_err,h_amp,h_mean,h_sigma,h_offset,h_area,h_amp_err,h_mean_err,h_sigma_err,h_offset_err,v_amp,v_mean,v_sigma,v_offset,v_area,v_amp_err,v_mean_err,v_sigma_err,v_offset_err,roi_sum
im_220.7deg_frame_1.bmp,1905,906,25,25,1905.0658427802077,906.2698937151613,0.08189843864755311,0.11761748048748871,62.86445903260462,25.065842780207834,3.9511281240036937,17.60779604941372,622.6101977310253,1.1730283134318633,0.08189843864755311,0.09125589176388384,0.45286194599405744,63.73395382026993,25.269893715161295,4.5801987084732,13.645594575108992,731.7203197408769,1.490268908542817,0.11761748048748871,0.13495604492080968,0.6511269581851444,45261.0
im_58.0deg_frame_1.bmp,569,999,25,25,569.579515692206,998.8938763071523,0.11864862382697355,0.10636738032771892,67.16436910186356,25.579515692205966,5.946898593414398,17.776744733072203,1001.1966937611243,1.2666509146421143,0.11864862382697355,0.1487275562259914,0.7170595586092562,62.14823050429424,24.893876307152222,3.176634079584333,17.502719285051455,494.86403598823637,1.852541315154997,0.10636738032771892,0.11505695279558684,0.6068096259535365,47399.0
im_75.3deg_frame_1.bmp,592,998,25,25,591.1342370379402,998.3472631765123,0.09405824611843441,0.08495369182281345,68.43945880879609,24.134237037940277,5.3880635712049045,18.3733735916223,924.3346041677876,1.109153264140956,0.09405824611843441,0.1131474458789843,0.5649768506576484,69.50382194054593,25.347263176512374,3.223363278258314,13.528497179857519,561.5751409359912,1.6317062873666979,0.08495369182281345,0.09204321823221193,0.5400970581603758,46082.0
im_82.6deg_frame_1.bmp,621,996,25,25,619.6228199237655,996.3307431357207,0.1117686128537352,0.13870625898181374,76.61257230169534,23.622819923765526,5.470125166133853,18.47055477461307,1050.4786791915274,1.4567021149517312,0.1117686128537352,0.13519970271123413,0.7535748213381857,71.56704145146803,25.330743135720645,3.308405915879599,18.74997092678848,593.5014535982158,2.6756445402345888,0.13870625898181374,0.15073405788537045,0.902488485649094,49693.0
im_88.3deg_frame_1.bmp,651,996,25,25,650.9430852139564,995.3530475734059,0.055416453717341774,0.18477337302465677,80.61925591170903,24.943085213956312,5.16467746979343,15.446209046304585,1043.6909675749152,0.7982531314130534,0.055416453717341774,0.0657121821892419,0.3898188940917214,73.32918020098724,24.353047573405938,3.745575929479147,15.750588937403105,688.4705527147487,3.2458779989754363,0.18477337302465677,0.2041463957150548,1.2016062625745838,50472.0
im_93.1deg_frame_1.bmp,682,994,25,25,681.321307905318,994.0914598758606,0.11666155925841597,0.17066770767992112,81.33337120900131,24.32130790531802,4.908736094796503,18.54487812006043,1000.7564366538716,1.7726671912311496,0.11666155925841597,0.1362517953774012,0.8246993334212822,79.1779843531412,25.091459875860533,3.564295670215072,15.931900850225153,707.40495723412,3.3927126277747846,0.17066770767992112,0.1872288218389228,1.209267886739343,51852.0
im_97.4deg_frame_1.bmp,713,992,25,25,712.132916130895,992.2224241625936,0.11614619200747034,0.10248903257242867,89.00867990375532,24.132916130894937,4.804691408886667,20.540349481702343,1071.9827420136758,1.9685353617382737,0.11614619200747034,0.13486395208141352,0.8978804949551928,86.20583144915639,25.222424162593583,3.3543043948426656,18.1036373101346,724.8181340919937,2.350286210575101,0.10248903257242867,0.11156003857439147,0.8007526998177983,52942.0
im_101.3deg_frame_1.bmp,743,991,25,25,743.5039326783314,990.8959425766096,0.11718154654681456,0.10689167885403812,101.25664058179574,25.50393267833134,4.738544469562706,20.54594432203799,1202.7030420354606,2.287680435814692,0.11718154654681456,0.13557656696270318,1.0303285779715226,96.39252446500606,24.89594257660965,3.9952600110471534,17.373287369124323,965.3356319400536,2.3232724279300148,0.10689167885403812,0.11932978917669405,0.9049476716788992,54985.0
im_105.0deg_frame_1.bmp,775,989,25,25,774.3650434159753,988.9768327586733,0.13336820231623026,0.07247488738501709,107.825720549991,24.36504341597525,4.539658372744554,23.100514357921554,1226.9743247054023,2.882070293140983,0.13336820231623026,0.15271344643312634,1.2494279054842323,109.89683553521085,24.976832758673257,3.4720133797462953,17.851253706117976,956.4373146563582,2.05021508547641,0.07247488738501709,0.07923107158055244,0.7165302210184882,55305.0
im_108.5deg_frame_1.bmp,805,987,25,25,805.1153460692277,987.1201397109337,0.1291914679779178,0.061185877435942476,119.59272431453307,25.11534606922771,4.6679202606319095,24.433533222065734,1399.323481808549,3.0193512280609776,0.1291914679779178,0.14891198155788318,1.341618112203475,128.37970156625317,25.120139710933675,3.404023602440421,15.231691170261092,1095.4154414669904,2.0604288114163607,0.061185877435942476,0.06672184162933541,0.7096259741851684,56855.0
im_111.8deg_frame_1.bmp,836,986,25,25,836.4449228701994,985.5883029326177,0.08835916329245064,0.04403015525251817,127.69787133155594,25.444922870199466,4.258652022049849,22.27686845661821,1363.156588492893,2.3977262710390317,0.08835916329245064,0.09980815513127378,0.9841271554595018,131.04256725348418,24.588302932617726,3.2525783986898618,17.19218593107732,1068.3907033585388,1.5807386893799582,0.04403015525251817,0.047753472346600705,0.5266393607838911,55621.0
im_114.9deg_frame_1.bmp,866,984,25,25,865.9011572734656,983.9796421902843,0.07953929636886903,0.03769377939306557,148.26778443271886,24.901157273465586,4.482612029428169,22.5405465589748,1665.9727151656932,2.3909138191743473,0.07953929636886903,0.09081655648694503,1.0251324272572366,152.71706708147133,24.979642190284302,3.4260090287975578,16.990137852043,1311.4931065870653,1.5007327626917573,0.03769377939306557,0.041137420569870776,0.5193247311020568,57859.0
im_118.0deg_frame_1.bmp,896,982,25,25,895.6388053325555,982.1785127330887,0.051369822081116054,0.04237237292011863,171.55202599982076,24.63880533255556,4.26097786683874,20.654128213006135,1832.2935966101104,1.871759357703483,0.051369822081116054,0.05803223776101721,0.7685988452485238,177.69150273846117,25.17851273308874,3.427425434266563,15.988045583758037,1526.5977206678174,1.9621336551319297,0.04237237292011863,0.04624581285759554,0.679195261061949,58294.0
im_121.0deg_frame_1.bmp,928,980,25,25,926.897614250218,980.2655062660637,0.052278750790173426,0.031026345116622427,192.63788830340303,23.897614250218,4.2645318825676695,20.89557548144638,2059.221237803456,2.1373923814639113,0.052278750790173426,0.05906868222828126,0.878280913884292,197.7941219262794,25.265506266063678,3.340639699743984,13.4744613713074,1656.2769316354415,1.6388917401095944,0.031026345116622427,0.03375570054761304,0.5567081397882201,59302.0
im_123.9deg_frame_1.bmp,957,978,25,25,956.474633693923,978.1697941905696,0.06387855481043571,0.029606932412735144,199.53369862227862,24.474633693922986,4.272635825125255,21.20024204320438,2136.9879076126917,2.7003580650619408,0.06387855481043571,0.07220247537583036,1.1113895805929586,202.76659668183942,25.169794190569608,2.8347699354429508,17.243969189219385,1440.8015405320787,1.877481395657028,0.029606932412735144,0.031665004745030575,0.5679719115215947,58148.0
im_126.7deg_frame_1.bmp,985,976,25,25,984.8657629546623,976.5276180793835,0.04354713241686354,0.03149264054345415,217.78711799411366,24.865762954662284,4.37672634977915,18.63390893749346,2389.3045806229243,1.9652858064417305,0.04354713241686354,0.04946478301025697,0.825488630918569,223.05243311548148,25.527618079383526,3.1936550689718244,13.267939947577974,1785.6030023916162,1.9585138332129604,0.03149264054345415,0.034085439218431914,0.6439736913760098,59501.0
im_129.4deg_frame_1.bmp,1014,974,25,25,1013.9408335065228,974.683026085972,0.05668006516429481,0.021613310374087747,221.50689571365527,24.940833506522853,4.438022339315259,19.017054537460304,2464.147321011922,2.5687423286073456,0.05668006516429481,0.0645740906308061,1.0918968156135107,229.04021378525505,25.683026085971928,3.1941811711567416,15.8032187029208,1833.839064574488,1.3799886822864849,0.021613310374087747,0.023393165478428377,0.45380363673830004,59932.0
im_132.2deg_frame_1.bmp,1045,972,25,25,1044.187988010075,972.3648427268388,0.07309503007650117,0.07876030733526002,206.4249794912858,24.187988010075056,4.62998659080599,18.22606004768938,2395.697157218692,2.970461060457808,0.07309503007650117,0.08408581674631081,1.3103266523631951,209.7036850445225,25.36484272683884,3.5116676715781576,15.00189494061765,1845.905253864421,4.205927130634013,0.07876030733526002,0.08623021673734799,1.482418899684912,59897.0
im_134.9deg_frame_1.bmp,1073,971,25,25,1073.1489811404851,970.82518257268,0.05687497865043813,0.02181930778864685,222.207420292344,25.148981140485084,4.103020463408195,19.83305762998213,2285.3471225542194,2.7798445150613222,0.05687497865043813,0.06379254121479429,1.106387600211157,230.26905986790484,24.825182572679925,3.199570230956476,12.344229321290447,1846.7885337255343,1.3983606992114415,0.02181930778864685,0.02362053641565394,0.46039968547416427,59357.0
im_137.5deg_frame_1.bmp,1101,969,25,25,1100.8536906424717,968.8050297086444,0.05435752843869232,0.025216484925265386,236.19067362221176,24.853690642471726,4.026732286043113,19.920089508413742,2383.995524815815,2.873816859116096,0.05435752843869232,0.06076512359080553,1.126480923843162,236.36807147381717,24.805029708644383,2.9466635069580915,13.442809995241834,1745.8595005801685,1.7956211352796507,0.025216484925265386,0.027066689298438005,0.5578712233133268,59155.0
im_140.2deg_frame_1.bmp,1131,966,25,25,1130.1378553266675,966.2733769489842,0.04903400796528559,0.06975685973795114,224.06830037566021,24.13785532666749,4.509841355699493,16.46041808728321,2532.9791731240616,2.2152177752529245,0.04903400796528559,0.05606220350869444,0.954815055492763,222.00028330437917,25.27337694898417,3.0708808580097684,16.762804263723414,1708.8597874012535,4.483378874468076,0.06975685973795114,0.0751839116141955,1.4336850281957103,58677.0
im_142.8deg_frame_1.bmp,1160,964,25,25,1159.2781494535184,964.5712121659204,0.07201766367807054,0.050936721157659105,193.02599758940673,24.278149453518317,5.118662755042233,14.527322083474514,2476.6364287624897,2.5031813954236974,0.07201766367807054,0.08515704927241126,1.2118288504079844,193.93523488542928,25.571212165920397,3.291682479619986,12.656712992256681,1600.1643501185083,2.675588767631452,0.050936721157659105,0.055320577613544496,0.8991435116219619,58312.0
im_145.4deg_frame_1.bmp,1189,962,25,25,1188.0174662871443,962.8978801021385,0.04886443287455438,0.04605391337071162,200.22133884908078,24.01746628714426,4.956872487994363,14.644874725115553,2487.7574897595164,1.8121068529288615,0.04886443287455438,0.05722745413982023,0.8507861238064046,205.57630017192378,25.897880102138497,3.326067320764276,15.301326232759605,1713.933687944617,2.5389575673727136,0.04605391337071162,0.050079029120028186,0.859704462565627,58711.0
im_148.0deg_frame_1.bmp,1218,960,25,25,1217.5192228731637,960.5034084598645,0.05270083117115804,0.057773618588166535,215.59746976469432,24.51922287316361,4.72594666771194,15.339827467385145,2554.008922735189,2.1958733291479944,0.05270083117115804,0.06093276348663823,0.9866118342657086,213.04883827026123,25.503408459864524,3.2759389189643766,15.710728867871538,1749.4635570524235,3.349102963995999,0.057773618588166535,0.06271088277728173,1.1215810396901855,59425.0
im_150.6deg_frame_1.bmp,1246,958,25,25,1245.5988579360483,958.4424062156875,0.03447424811233371,0.049360290845951914,234.71142194303485,24.59885793604822,4.40399908006001,17.139527523449445,2591.023657047783,1.6672113232706138,0.03447424811233371,0.039210549952653335,0.7040137962714059,232.62774432514578,25.442406215687527,3.049124329270866,16.20042410154911,1777.9787947556367,3.3471844425417543,0.049360290845951914,0.05316163701167704,1.0650096249515095,59214.0
im_153.2deg_frame_1.bmp,1276,956,25,25,1274.9407531990216,956.370251951552,0.046376947771755314,0.05997304844739777,232.93955680954875,23.94075319902153,4.4546297102137125,15.879469870028093,2601.0265680631633,2.2027452510485106,0.046376947771755314,0.05287915443557255,0.9393457229763201,232.2198673650334,25.370251951551985,3.1772715067104413,12.350911404237987,1849.454430171119,3.902146930370463,0.05997304844739777,0.06487389959921157,1.2783502881782054,59370.0
im_155.8deg_frame_1.bmp,1305,953,25,25,1304.4629019582069,953.9035552271075,0.035046989701263714,0.0608146559755392,214.3031960043748,24.462901958206874,4.546243397590098,14.97712207686904,2442.143983678514,1.5032872696008015,0.035046989701263714,0.040143884280958185,0.6525241644368323,213.88083237749856,25.903555227107482,3.143766342487153,15.93129597316705,1685.4351999365113,3.6817465633170174,0.0608146559755392,0.06570840737675471,1.1970545021188792,58323.0
im_158.5deg_frame_1.bmp,1335,952,25,25,1334.4403637655842,951.9682930239268,0.0408939165152497,0.03611612814838546,217.492424650539,24.440363765584053,4.437440370420689,16.196577302509297,2419.171175423791,1.8199382255277834,0.0408939165152497,0.04658804991986283,0.773516462183581,217.84485152263005,24.9682930239268,3.0358367151932644,15.545259017593358,1657.7370485844613,2.3031001308967722,0.03611612814838546,0.038880261754722145,0.7305611459042155,58303.0
im_161.1deg_frame_1.bmp,1365,949,25,25,1364.640053441925,949.6215054981052,0.046471321609824985,0.03096224541546627,219.90071822405937,24.640053441924888,4.6226031304154,15.059561046461193,2548.0221033986977,2.014729112364908,0.046471321609824985,0.05343829262388761,0.8874689174123799,223.11826325627797,25.62150549810522,3.063534875683875,12.052858386992837,1713.3570806278694,2.004623193504734,0.03096224541546627,0.03336285788282743,0.6399542321477116,57385.0
