im_142.8deg_frame_1,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,13.0,13.0,12.0,12.0,13.0,15.0,18.0,24.0,48.0,82.0,129.0,166.0,196.0,199.0,198.0,185.0,161.0,118.0,94.0,66.0,52.0,36.0,27.0,21.0,17.0,15.0,15.0,15.0,14.0,14.0,13.0,12.0,13.0,13.0,13.0,12.0,12.0,12.0
im_140.2deg_frame_1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,23.0,47.0,98.0,151.0,207.0,225.0,241.0,216.0,203.0,158.0,124.0,87.0,68.0,53.0,47.0,34.0,26.0,18.0,17.0,19.0,20.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
im_150.6deg_frame_1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,27.0,49.0,89.0,142.0,202.0,230.0,254.0,232.0,211.0,175.0,135.0,97.0,70.0,50.0,38.0,29.0,24.0,20.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
im_148.0deg_frame_1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,29.0,54.0,95.0,138.0,197.0,216.0,227.0,215.0,197.0,167.0,142.0,104.0,77.0,49.0,39.0,30.0,25.0,18.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
im_145.4deg_frame_1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,22.0,45.0,85.0,128.0,168.0,194.0,211.0,212.0,212.0,178.0,148.0,111.0,85.0,59.0,40.0,27.0,22.0,19.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
im_158.5deg_frame_1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,20.0,36.0,65.0,111.0,157.0,206.0,218.0,232.0,209.0,192.0,150.0,109.0,72.0,48.0,33.0,26.0,21.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
im_155.8deg_frame_1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,19.0,34.0,65.0,117.0,173.0,212.0,219.0,222.0,205.0,187.0,146.0,108.0,78.0,58.0,44.0,35.0,27.0,20.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
im_153.2deg_frame_1,11.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,17.0,27.0,52.0,90.0,155.0,206.0,241.0,236.0,232.0,200.0,177.0,133.0,98.0,70.0,51.0,35.0,28.0,23.0,17.0,15.0,14.0,13.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,11.0,12.0
im_163.8deg_frame_1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,27.0,46.0,78.0,128.0,177.0,215.0,226.0,232.0,203.0,181.0,132.0,92.0,58.0,40.0,30.0,23.0,19.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
im_161.1deg_frame_1,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0,13.0,12.0,13.0,12.0,13.0,12.0,12.0,13.0,15.0,17.0,24.0,43.0,78.0,126.0,177.0,213.0,231.0,224.0,209.0,178.0,134.0,96.0,64.0,39.0,27.0,20.0,18.0,17.0,15.0,13.0,13.0,12.0,12.0,12.0,13.0,12.0,12.0,11.0,11.0,12.0,12.0
