filename,cx_global,cy_global,cx_local,cy_local,cx_corrected,cy_corrected,cx_corrected_err,cy_corrected_err,h_amp,h_mean,h_sigma,h_offset,h_area,h_amp_err,h_mean_err,h_sigma_err,h_offset_err,v_amp,v_mean,v_sigma,v_offset,v_area,v_amp_err,v_mean_err,v_sigma_err,v_offset_err,FWHM,FWHM_err
5.tiff,1318,1312,25,25,1317.281782654774,1312.1150161221085,0.0692046772158503,0.0402142318785375,62.07725574053576,24.281782654773814,4.429629293662609,14.29458593801556,689.2707141037213,0.8804875179103343,0.0692046772158503,0.0788106783931584,0.3736598067213411,63.82664967535292,25.11501612210832,3.261673990534213,11.483316129377064,521.8341935067806,0.7013346409215039,0.0402142318785375,0.0436287901380984,0.2341265770623414,10.430979852772998,0.18558496524269694
46p4.tiff,1372,1315,25,25,1371.8286473454766,1314.7989078507117,0.0434508943550988,0.0216370390315636,120.43635068781552,24.828647345476607,4.118401552736329,16.573984165323168,1243.3007932362918,1.14706298955102,0.0434508943550988,0.0487690380951166,0.4579336792605046,117.4916565226264,24.798907850711554,3.0372904297295387,15.949878970941034,894.5060512767895,0.7438196605118637,0.0216370390315636,0.0232941564349206,0.236024959417532,9.698094529870094,0.11484230848325856
65.tiff,1430,1316,25,25,1429.4855453754442,1315.477006334569,0.043213126294127,0.0448966206184159,123.92560366236168,24.48554537544416,4.205170266799209,14.734503250534429,1306.2748407908157,1.151370884326052,0.043213126294127,0.0486923161819407,0.4676185260034039,127.02510945436292,24.477006334569065,3.0541181181396357,12.651086844959634,972.4456576847872,1.659798874374258,0.0448966206184159,0.0483623310236298,0.5287263739977237,9.902419237026923,0.11466164218421881
80p5.tiff,1486,1317,25,25,1485.1538145750717,1317.3622171218617,0.0449909928046123,0.0357472230591853,118.90342889421976,24.153814575071756,4.276224867559724,16.529706199451624,1274.5146966221532,1.132497921377524,0.0449909928046123,0.0508621397821633,0.4664291802045081,132.37189511701885,25.362217121861796,3.09531544440494,11.219045010746528,1027.047749736049,1.3595368858671073,0.0357472230591853,0.0385601375584688,0.4371888934370159,10.069740035189454,0.11977118629220422
95.tiff,1544,1319,25,25,1543.6351222505596,1318.685434090001,0.0294845472125367,0.0179407969968661,186.82141899307123,24.635122250559625,4.182362912055157,15.028670674887977,1958.566470287144,1.1902697585592878,0.0294845472125367,0.0331885585075951,0.4812447411384867,179.04548451288514,24.68543409000118,2.7969559164245217,15.774497179269952,1255.2751408386712,1.0177292541712,0.0179407969968661,0.0191650018186312,0.3050778453771784,9.848712020901498,0.07815308283936738
109p5.tiff,1604,1320,25,25,1603.102506685067,1320.1514814490554,0.0310457331940757,0.0290503127861526,233.6080070102136,24.102506685067155,4.10550727590336,15.398890604865931,2404.0554726980763,1.594370672056764,0.0310457331940757,0.0348255484847554,0.6348756640958815,233.3577995195645,25.151481449055414,2.7058905006716074,12.94426011234996,1582.7869945051614,2.2178579497483875,0.0290503127861526,0.030944718241649,0.6501233418092321,9.66773082831764,0.08200789965109923
125.tiff,1664,1321,25,25,1663.4174432731957,1320.6969768818822,0.0356857735284327,0.0320883288385731,105.7520995955574,24.4174432731956,3.685593068336168,14.92037111579551,976.98144413069,0.9179705304729,0.0356857735284327,0.0393332563221947,0.3356211380915612,109.56699375193824,24.69697688188213,3.080723449086926,12.07797275545886,846.1013622268966,1.0147374200218002,0.0320883288385731,0.0345962630597667,0.325223887841605,8.67890843514513,0.0926227404238444
143p6.tiff,1723,1323,25,25,1722.5415098395026,1321.7265697766925,0.1083435904533716,0.0365454311271618,68.24776389939713,24.541509839502545,3.363583522004833,16.831715952008445,575.4142023620519,1.961812528234888,0.1083435904533716,0.1179722625526985,0.6697481529880258,77.68837984948817,23.726569776692443,3.371274542647678,11.729837060085814,656.5081469494245,0.7516365194653519,0.0365454311271618,0.039804389540314,0.2570334428712424,7.9206339007527795,0.2778034486167485
185.tiff,1783,1323,25,25,1782.9050942574595,1322.786754455819,0.0615984283860812,0.029881510873107,84.51464841901397,24.905094257459616,3.5832908891251285,15.277825306849495,759.1087346588963,1.30052329419462,0.0615984283860812,0.0676246936061171,0.4654015870009538,88.96785067623411,24.786754455818876,3.522457125249145,11.189183924476405,785.5408035900859,0.6750133734991581,0.029881510873107,0.0327289407284044,0.2384639453965718,8.438005212888626,0.15924398404276083
